Date,Email Address,No Error,Number of Errors,Total,Error Rate,CSAT YES,CSAT Survey Count,CSAT,TeamLead,Age,Tenure,Shift
12/29/2017,archie.cortez@basil.com,320,0,320,0.00%,49,116,42.24%,Don De Marco,30,7,MID
9/29/2017,debonaire.liwanag@abc.com,736,3,739,0.41%,25,95,26.32%,Don De Marco,45,10,PM
9/3/2017,arvin.angeles@basil.com,601,4,605,0.66%,46,144,31.94%,Don De Marco,37,5,MID
10/2/2017,michelle.canlas02@jasondaman.com,810,8,818,0.98%,58,131,44.27%,Don De Marco,39,2,MID
6/23/2017,hanna.luat@jasondaman.com,196,2,198,1.01%,97,118,82.20%,Joey Jordison,46,9,AM
8/20/2017,regine.samson@tuso.com,388,4,392,1.02%,55,142,38.73%,Joey Jordison,59,4,PM
8/25/2017,jammie.egbert@basil.com,755,8,763,1.05%,39,104,37.50%,Buckey Barnes,34,9,PM
3/20/2017,avigail.manalili@jasondaman.com,824,9,833,1.08%,49,97,50.52%,Don De Marco,33,7,PM
6/1/2017,maria.tatlonghari@basil.com,449,5,454,1.10%,79,117,67.52%,Joey Jordison,63,9,AM
4/28/2017,debonaire.liwanag@basil.com,353,4,357,1.12%,33,134,24.63%,Joey Jordison,26,6,PM
10/28/2017,marie.aguas@jasondaman.com,779,9,788,1.14%,24,131,18.32%,Don De Marco,38,2,MID
12/16/2017,aljen.lizada@jasondaman.com,738,9,747,1.20%,38,138,27.54%,Joey Jordison,21,6,AM
10/20/2017,raissa.utulo@abc.com,311,4,315,1.27%,46,139,33.09%,Don De Marco,36,1,MID
11/24/2017,maria.tatlonghari@basil.com,880,12,892,1.35%,30,126,23.81%,Don De Marco,42,8,MID
2/10/2017,jammie.egbert@jom.com,794,11,805,1.37%,23,91,25.27%,Don De Marco,42,8,AM
11/8/2017,jerico.alde@tuso.com,865,12,877,1.37%,31,109,28.44%,Don De Marco,23,8,MID
5/9/2017,angelo.agbannaoag@jasondaman.com,933,13,946,1.37%,45,131,34.35%,Buckey Barnes,22,5,AM
3/27/2017,catherin.gajelan@tuso.com,765,11,776,1.42%,51,126,40.48%,Buckey Barnes,30,2,MID
11/6/2017,aljen.lizada@tuso.com,689,10,699,1.43%,22,111,19.82%,Don De Marco,52,6,MID
11/4/2017,portia.bautista@basil.com,"1,065",16,"1,081",1.48%,61,114,53.51%,Don De Marco,56,3,MID
8/12/2017,julien.reyes@jasondaman.com,387,6,393,1.53%,89,91,97.80%,Joey Jordison,57,10,AM
5/14/2017,alexander.dula@tuso.com,513,8,521,1.54%,63,94,67.02%,Joey Jordison,27,6,PM
11/23/2017,bill.badilla@jasondaman.com,307,5,312,1.60%,65,109,59.63%,Buckey Barnes,38,6,PM
1/1/2017,bill.bautista@abc.com,601,10,611,1.64%,96,123,78.05%,Buckey Barnes,46,8,AM
5/21/2017,maria.gagarin@basil.com,"1,021",18,"1,039",1.73%,94,127,74.02%,Don De Marco,48,3,PM
4/7/2017,raissa.utulo@basil.com,680,13,693,1.88%,25,119,21.01%,Joey Jordison,51,9,PM
3/28/2017,ranie.liwanag@basil.com,"1,029",20,"1,049",1.91%,90,130,69.23%,Buckey Barnes,48,9,AM
6/28/2017,aljon.rivera@jom.com,717,14,731,1.92%,61,119,51.26%,Buckey Barnes,26,2,AM
6/6/2017,valesca.castro@jasondaman.com,969,19,988,1.92%,59,90,65.56%,Buckey Barnes,38,8,AM
2/11/2017,reinerio.echauz@tuso.com,803,16,819,1.95%,74,121,61.16%,Joey Jordison,24,3,PM
11/19/2017,bill.badilla@basil.com,729,15,744,2.02%,50,92,54.35%,Buckey Barnes,48,2,MID
1/27/2017,avigail.manalili@jom.com,857,18,875,2.06%,90,138,65.22%,Buckey Barnes,46,6,AM
11/25/2017,janessa.munoz@jasondaman.com,898,19,917,2.07%,100,149,67.11%,Buckey Barnes,24,1,AM
1/24/2017,karlo.delacruz@tuso.com,"1,180",25,"1,205",2.07%,76,140,54.29%,Don De Marco,35,1,AM
3/8/2017,edward.malig@abc.com,459,10,469,2.13%,62,146,42.47%,Joey Jordison,45,7,AM
4/16/2017,jessica.higginbottom@tuso.com,"1,273",28,"1,301",2.15%,35,102,34.31%,Don De Marco,54,7,AM
7/24/2017,avigail.manalili@abc.com,"1,042",23,"1,065",2.16%,88,98,89.80%,Buckey Barnes,59,1,PM
8/11/2017,michelle.canlas02@basil.com,585,13,598,2.17%,44,104,42.31%,Don De Marco,41,3,AM
9/13/2017,bill.badilla@jom.com,624,14,638,2.19%,56,115,48.70%,Joey Jordison,62,1,MID
8/6/2017,arvin.angeles@jasondaman.com,"1,044",24,"1,068",2.25%,31,130,23.85%,Joey Jordison,52,4,MID
3/31/2017,arvin.angeles@basil.com,693,16,709,2.26%,30,125,24.00%,Joey Jordison,46,8,PM
4/9/2017,michael.villegas@jom.com,866,20,886,2.26%,41,109,37.61%,Buckey Barnes,36,3,PM
3/6/2017,aljen.lizada@basil.com,914,22,936,2.35%,30,142,21.13%,Buckey Barnes,48,8,AM
10/26/2017,reinerio.echauz@basil.com,884,22,906,2.43%,43,97,44.33%,Buckey Barnes,65,9,AM
11/7/2017,avigail.manalili@jasondaman.com,"1,158",29,"1,187",2.44%,60,147,40.82%,Buckey Barnes,44,7,AM
1/8/2017,arvin.angeles@tuso.com,592,15,607,2.47%,81,133,60.90%,Joey Jordison,45,8,AM
